No.,Category,Question,Answer
1,Login,How do I log in to the platform?,"Sign in with your student email that ends in .bu.ac.th. Only that domain is accepted."
2,Login,My non-BU email won't work — why?,"Login is restricted to student emails ending in .bu.ac.th. Use your university account."
3,Home,What does the Home page show?,"Home has the top bar (navigation), the side bar (your pending tasks and questions), and the Class Panel listing today's and the upcoming week's classes."
4,Home,How do I jump to Courses or my Schedule?,"Use the top bar — it links to Home, Courses, Schedule, Tasks, and Forum from any page."
5,Home,How will I know a class is starting?,"The system pops up a notification when a class is about to start; tap 'Join Class' from the notification to enter on time."
6,Home,What's in the side bar on Home?,"Pending Questions, Pre-Class Material to do before class, Due Assignments, and a Submission Bar showing how many tasks are left versus completed (completed shown in orange)."
7,Home,What is Pending Question?,"It lists questions you asked in class that are still waiting for a reply from the instructor."
8,Home,What's the Pre-Class Material section for?,"It guides you through activities you should finish before the class begins, in the recommended order."
9,Home,How does Due Assignment work?,"It shows assignments with upcoming deadlines and takes you straight to whatever's still incomplete by default."
10,Home,What does the Submission Bar mean?,"It shows the total number of pending tasks; tasks already submitted are highlighted in orange."
11,Home,What's the Class Panel?,"It lists every class scheduled for today plus the rest of this week (Monday–Saturday), sorted by start time."
12,Home,How do I enter a live class?,"From the Class Panel, click 'Enter Class' on the matching session — it takes you into the live class room."
13,Courses,How do I find a specific course?,"Open Courses, pick the semester from the top bar, then click the course card. Each card shows your completion progress."
14,Courses,Can I see how much of a course I've finished?,"Yes — each course card shows total sessions and your progress through them."
15,Class Phases,What's the difference between Pre-Class, In-Class, and Post-Class?,"Pre-Class lists what to do before the session, In-Class is for activities during the session, and Post-Class lists work to do after class ends."
16,Class Phases,Can I download lecture material?,"Yes — use the Download button on a unit. Only text-based files and PDFs are supported."
17,Class Phases,What does 'Mark as Complete' do?,"Tap it once you've finished a Pre-Class or Post-Class activity to record your progress."
18,Buddi AI,What is Buddi AI?,"It's an in-class AI assistant. Tap the AI button to ask questions about the lesson, or chat to summarize material you've already covered."
19,Buddi AI,Can Buddi AI summarize next week's content?,"No. Buddi AI only answers about lessons you've already studied or that are coming up and already opened — it can't reveal content from weeks that haven't been released yet."
20,In-Class,What's in the In-Class view?,"A units bar lets you switch between Pre-Class, In-Class, and Post-Class content and do activities for the current session."
21,In-Class,What is the Mini Player?,"A small live view of what the instructor is presenting. Tap it to go full-screen."
22,In-Class,What is the 'Did You Know' screen?,"While the instructor is on a break the system shows knowledge tidbits — an image plus a short fact for you to read."
23,In-Class,How do I submit a Form in class?,"Fill it in and press Submit. The system records your answer, then tap 'Mark as Complete' to confirm the activity is done."
24,Assignments,Where do I see assignment details?,"Each assignment shows its title, release date, due date, points, and number of questions in its detail view."
25,In-Class,How do Polls work?,"A poll question appears — pick an answer and submit to share your response."
26,In-Class,What are Linkage Tools?,"External links or resources the instructor adds for the lesson. Click one to open the related site or learning material."
27,Breakout Rooms,What can I do in a Breakout Room?,"See your group via the Member tab and chat with members (or Buddi AI) via the Chat tab while you work together."
28,Breakout Rooms,Can I talk to Buddi AI inside a breakout?,"Yes — the breakout's Chat tab supports messaging the group and chatting with Buddi AI."
29,Assignments,How do group assignments work?,"Open the group activity bar to see submission history and group members. Use 'View Assignment' to review or submit your work."
30,Assignments,Where can I see group assignment details?,"The Group Assignment info bar shows the title, due date, description, and submission status."
31,Assignments,Can I see my group's past submissions?,"Yes — the group activity detail bar shows your group's submission history and member list."
32,Schedule,How do I view my class schedule?,"Open Schedule. Today's classes are highlighted; hover over a class to get a quick menu for joining."
33,Schedule,Can I switch between weekly and monthly view?,"Yes — use the Week/Month toggle to change the schedule view."
34,Tasks,What's in the Tasks page?,"All your Pending Questions waiting for answers, every overdue or upcoming Due Assignment, and all recommended Pre-Class Material in one place."
35,Forum,How do I start a forum topic?,"On Forum, click Create and choose a topic or course relevant to the question or discussion."
36,Forum,How do I find a topic in Forum?,"Use the Forum filters to narrow the list down to topics that match what you're looking for."
